Field_ID,Yield
E9UZCEA,3.714613333333334
1WGGS1Q,3.3368533333333352
EG2KXE2,3.7258525000000016
HC3GQXF,3.1765041666666662
7AK6GFK,3.461599999999999
QBM8DGN,4.811027500000002
1H0WQXK,4.2752075000000005
CWDN5MZ,5.995145
PTAP92J,4.7426725
NTTFH97,4.144820000000001
RK81RN2,4.3527675
O3RQ62W,4.4944775
VKW2QWW,4.398879166666666
3FCYE8T,4.374517500000001
8RYV3CK,3.691400833333333
3NKC1DP,3.786173333333333
R8WPNYX,4.1114216666666685
TOZJ2IG,3.916669166666667
CNLULR7,4.6892875
ELZR4UM,5.254022500000001
VIZYKBL,3.6272575000000002
LZIDLI2,3.6074724999999987
B9L85Z0,4.015877500000001
O0U8D1M,4.132945000000001
3VBIK52,4.0968575
2JFB39B,4.3490874999999996
JFCSJF4,3.5550174999999986
BO8JXPC,4.378244999999998
6SDAQZQ,4.07634
NGD88T2,5.198507500000002
FT8LFH4,5.216855000000001
MZOCECZ,4.955102500000001
55GG5NQ,4.967565000000002
QKO0BV6,4.656719999999999
DRQAXC4,5.2147675000000016
M4SFYB7,4.505395000000001
ENQBR9B,5.406600000000002
P6ECOKQ,6.474252500000001
JJREPX0,3.800359166666666
DN2B2XP,3.672790833333332
DJL98FI,4.284968333333332
OX0Q82K,3.7749333333333324
TFXIDLZ,3.720745833333331
ZGMQJ7K,3.537392500000001
E82R8PJ,3.4147158333333336
OYC8M3P,3.997497499999999
JAH5WXF,3.8203799999999997
DL6AML6,3.932870833333333
GYZLLDT,3.689724999999997
TVFO9CM,3.4143745833333328
7E6RO6I,3.8980858333333326
0P7W1P8,3.2796483333333333
D52SYLW,3.644395833333332
QWRRKBR,3.61798483333333
OH4ESIV,3.752794999999998
1K2VIHV,4.0519799999999995
JXAD8LJ,3.510614999999999
XAJ1NTU,5.2752324999999995
77GE28L,4.467105
EYDZYMV,5.362855
5SRUT7Y,4.717632499999999
CCMTCVJ,4.636654500000001
45HDPQG,5.781544999999999
HWOVS2Y,4.401705
LG9FBFW,4.9917275
8NAOQY3,5.026620000000003
6QBUG02,4.738989999999999
TM7L926,4.634075000000001
HIE84ES,5.441559166666666
4E31KLF,4.511664999999999
69DLWQ1,4.0558225000000006
O1ZGG6P,3.895433333333333
G8XP7YG,3.964623333333332
EP9TUM4,3.7030591666666663
5KQU3IV,4.279385416666667
YBA2QFE,4.142649166666666
GZ8RW7R,3.448358333333333
ZV8ZA85,3.7913158333333343
VJ5AX0K,4.246777
F4CTCKU,3.679330833333335
9L7J242,3.5389816666666656
MF8FTFG,3.7162883333333316
1K2KCW1,3.4225433333333326
12OWBF9,3.4472858333333325
4RVRAVC,3.633072499999999
DTWG1BJ,3.7083233333333316
PHX49B7,3.420168333333332
VN1CL1J,3.568400833333332
VJ3JHOH,3.7133458333333316
7VGPPSK,3.6088183333333332
DYMTI10,3.744230833333331
WZDG14H,3.2876033333333328
LYR3N87,3.5732583333333325
VPDCHQD,3.361090000000001
7SW7738,3.7481608333333316
6C5RZ3R,3.261543333333332
7PXDVI7,3.319374999999998
P30Q0U3,3.668383333333333
6U7AFUR,4.132890833333335
D65B66Q,3.684533333333332
944SKD5,4.582224999999999
UIBV8NA,3.6482325
EID9JOD,3.306484166666668
JDB3E5V,3.7380318333333333
VK9B5JY,3.4001808333333328
4I73A4Q,4.304185
5KBNV28,5.400587500000001
ETOBRKO,5.312707499999998
4DELPT6,4.560497500000001
CBY8XQ6,5.614819999999997
A8HRGF6,3.904809833333334
ZBTG13Z,3.860390000000001
RHIFOHE,3.9662925
CEYJV9U,4.022084166666667
FBK12Y9,4.92559
GYW0UZE,4.076215833333337
QXVCWIE,3.962120000000001
MURYWA1,4.0882724999999995
L0X2M1G,3.7988833333333343
3RB3V6Y,5.681907499999998
GMTT81P,4.973555000000002
3BNVELA,5.071549999999999
0X73OGT,5.6076025
0V4C2W9,6.078934999999999
FJ9HZIR,4.5958425
7KYVZ3F,5.39393
99ARRM2,5.895434999999999
O9EIUEW,4.9601225
IK83HLI,5.486372500000001
1AH9KQT,5.496442500000001
BH4M6ZN,4.68721875
MKA6B60,5.429001666666665
0TP6ZNZ,5.298215
59FM5IS,6.142919999999998
CK6J25H,5.5685649999999995
V7EFD8Z,5.596875
G0H8H57,5.291822500000002
L4BZKU0,5.905364999999998
3P8YVLM,3.9619808333333344
VPDZI7Y,5.285277500000002
0BEDPGN,4.418401250000003
O780K9Y,4.7923775
UUVI4N1,5.0501175
XJTCT78,4.8733249999999995
Q30M7HS,5.3172475
Z0UKCU0,5.15937
RTVCND5,5.172973333333333
A06JK7H,5.283832500000002
F0XSDYO,5.341827916666668
P2VP8TL,4.3149575
L3JFEG6,5.333420833333334
66PKAQX,4.694102500000002
JWN1Q0E,4.84819
UKEXN7Y,4.940382500000001
61RNVM6,5.476185000000002
XWJVZLL,4.2562875
Q9BK9V3,4.987225416666668
15N57Y3,4.6280399999999995
WSH7TWL,4.760555416666666
93XQZPL,4.760555416666666
E2J5SNZ,4.945505
0VQH8RV,5.42971
VWE8X7D,4.452434999999999
9AP7PPM,4.740389999999999
Q4OSIHB,4.760555416666666
01CNJBI,4.7034075
X6G8EYL,4.5334425000000005
AQSZDWA,4.897004999999998
9WMQEXG,4.578739999999999
G00R3DI,5.056997500000001
W25FF0D,4.823157500000001
G70A7JG,4.492212916666668
2O1FDGL,4.635264999999999
0XGKRWL,4.570019999999999
PCX2WO1,4.615735
6WIDHKU,4.6505075
ZQ6PI9K,4.537405000000001
DFQG8RU,5.181007976190477
OB4D4A3,5.152610892857143
KK2VK7Z,4.634785000000001
6TH3FQZ,4.5304325
8K0O0PD,4.544775000000001
DDMOWY3,5.071847500000001
HH7Z5Z5,4.571815000000001
IY0DW40,4.766685000000001
OSHARAV,4.407432500000001
SZCWVBD,4.671319999999998
X7SBATO,4.580797499999999
89V3EBE,4.595890000000001
IBJCQU2,4.375382500000001
IA77FT0,4.719872499999998
552VS1V,4.6501
1BZ2WMK,4.682084999999998
CZFCMBJ,5.0285325
MAICAFG,4.459609999999999
AVIIWAQ,4.992576500000002
R20MQ4T,5.022565
WJGPWN7,4.893887499999998
OBCZ8UN,4.992891500000002
S4DAJNI,4.874817499999999
NPLF94D,4.628982499999999
1NRMK7Z,5.101797499999999
ITNCN60,4.779532500000001
6SHN9H9,4.7536974999999995
5O53JVV,3.342491875
SC3I5QS,3.2590966666666668
ULZOU94,3.145965833333334
9KMOAPZ,3.3745258333333332
K29MYB1,3.335728333333335
PY1BOJ3,3.5382258333333327
VW9NF4Q,3.8547974999999983
XD103QP,3.3838583333333325
6AVVM6M,3.671344999999998
QRCOD7B,3.979057499999999
L2OB6S8,3.9897216666666657
IZA34EE,3.5501462499999996
ZIIUZCF,3.7414799999999997
TEZ5L7O,3.748627499999998
CIN5QMN,4.200569999999998
S0S6VJG,4.170732499999996
CKTJBEQ,4.033007499999999
